account which created a contract at an address that had been previously used, total ether amount endowed in all creations by account
0x55757942b19e543a7d4c909f952f5509b10b66b3, 9633.94267706811
0x62261ae38d40bcd5ab3e44989161b70a91e4d7da, 7.440369762422095
0x88c8afdb1e79cf9ecd015de4559adc26a00b9321, 7e-18
0xe21c4f022389cc9ae317de55d08325f4e071c421, 1.1
0x424464fbcc9b1e73fb769eabf17ce64dd490579e, 1e-18
0x865518142c5a6925b9a2b4ead261644e8e7d1aad, 1715.2752037037037
0x3452954838762313786992245132387393331546, 3324.2107269557755
0x5e51be2857966fc1963da8e6ef01aab48b56eafa, 6.0
0x2423b8ed9e9e7ccdddabd6685cdf579f85b9e9a4, 18.0
0x2657cb1671bb08ec8c0928fdf4670d76ec05a187, 16.1095
